City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
655,Ouadda,CF,89.1,overcast clouds,8.0777,22.4007,
657,Ambilobe,MG,81.21,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
660,Colares,PT,75.33,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
662,Kudahuvadhoo,MV,85.26,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
664,Trairi,BR,83.97,overcast clouds,-3.2778,-39.2689,janelas do mar
669,Cockburn Town,TC,75.27,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
670,Singapore,SG,78.75,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
672,Ecoporanga,BR,79.99,scattered clouds,-18.3733,-40.8306,Hotel Bar e Restaurante do Dico
675,Poltavka,RU,75.13,broken clouds,54.3663,71.7632,
677,Saint-Joseph,RE,80.98,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
680,Rio De Janeiro,BR,86.0,clear sky,-22.9028,-43.2075,Hotel cruz de ouro
682,Padang,ID,80.65,moderate rain,-0.9492,100.3543,Mercure Padang
683,Hukuntsi,BW,80.83,clear sky,-24.0,21.75,Entabeni Hotel
684,Bairiki,KI,80.6,light rain,1.3292,172.9752,Tarawa Boutique Hotel
686,Mitsamiouli,KM,81.18,moderate rain,-11.3847,43.2844,Foyer ADM
689,Gizo,SB,82.83,broken clouds,-8.103,156.8419,Imagination Island
694,San Policarpo,PH,80.15,overcast clouds,12.1791,125.5072,Agapita M. Nicart
699,Sibolga,ID,79.14,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
703,Sao Gabriel Da Cachoeira,BR,80.67,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
704,Cabinda,AO,80.55,light rain,-5.55,12.2,Hotel Maiombe
709,Chitrakonda,IN,89.31,light rain,18.1167,82.0833,Sri venkateswara swamy temple
711,Iguape,BR,81.82,broken clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
715,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
717,Quang Ngai,VN,78.62,overcast clouds,15.1167,108.8,Central Hotel
718,Xuddur,SO,88.48,overcast clouds,4.1213,43.8894,Banjanay Hotel
719,Mana,GF,82.67,broken clouds,5.6592,-53.7767,LE SAMANA
721,Mahibadhoo,MV,85.48,overcast clouds,3.7833,72.9667,Omadhoo Inn
722,Manokwari,ID,78.91,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
