City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Constitucion,CL,-35.3333,-72.4167,50.88,72,9,8.39,clear sky
80,Paamiut,GL,61.994,-49.6678,35.73,98,100,20.29,light rain
81,Adolfo Lopez Mateos,MX,28.4667,-107.3,46.11,28,1,3.27,clear sky
82,Tamandare,BR,-8.7597,-35.1047,81.79,77,91,8.66,overcast clouds
83,Ostrovnoy,RU,68.0531,39.5131,25.79,71,87,15.48,overcast clouds
84,Barrow,US,71.2906,-156.7887,5.02,85,100,13.8,light snow
85,Vao,NC,-22.6667,167.4833,75.9,73,100,20.71,light rain
86,Ribeira Grande,PT,38.5167,-28.7,59.4,94,75,3.44,moderate rain
87,Esperance,AU,-33.8667,121.9,60.31,68,65,17.16,broken clouds
88,Fort-Shevchenko,KZ,44.5086,50.263,67.26,51,10,11.34,clear sky
89,Qaanaaq,GL,77.484,-69.3632,24.46,73,100,5.44,overcast clouds
90,Bulgan,MN,48.8125,103.5347,37.24,60,83,0.76,broken clouds
91,San Jose,US,37.3394,-121.895,50.0,78,20,4.61,few clouds
92,Plettenberg Bay,ZA,-34.0527,23.3716,68.04,53,1,5.77,clear sky
93,Saint-Philippe,RE,-21.3585,55.7679,81.99,79,52,7.92,broken clouds
94,Novo Aripuana,BR,-5.1206,-60.3797,83.53,70,67,4.05,broken clouds
95,Ahipara,NZ,-35.1667,173.1667,59.41,85,50,8.99,scattered clouds
96,Barsana,IN,27.65,77.3833,104.95,7,2,4.12,clear sky
97,Tres Arroyos,AR,-38.3739,-60.2798,47.39,58,6,19.69,clear sky
98,Balabac,PH,7.9868,117.0645,79.59,86,100,9.93,overcast clouds
99,Svetlogorsk,BY,52.6333,29.7333,52.32,43,97,7.94,overcast clouds
100,Mount Isa,AU,-20.7333,139.5,80.37,57,75,10.36,broken clouds
101,Norman Wells,CA,65.282,-126.8329,26.33,95,100,0.29,overcast clouds
102,Nanortalik,GL,60.1432,-45.2371,39.96,80,100,5.86,overcast clouds
103,East London,ZA,-33.0153,27.9116,73.98,41,0,6.82,clear sky
104,Lumphat,KH,13.4878,106.9816,87.73,47,95,6.2,overcast clouds
105,Rosetown,CA,51.5501,-108.0014,41.43,52,42,6.22,scattered clouds
106,Puerto Leguizamo,CO,-0.1934,-74.7819,74.25,96,99,1.05,overcast clouds
107,Honningsvag,NO,70.9821,25.9704,26.35,63,100,29.93,squalls
108,Alofi,NU,-19.0595,-169.9187,79.12,77,100,21.81,light rain
109,Yaan,NG,7.3833,8.5667,81.68,68,100,4.21,overcast clouds
110,Upernavik,GL,72.7868,-56.1549,21.9,92,100,13.89,light snow
111,Longyearbyen,SJ,78.2186,15.6401,8.44,52,40,17.27,scattered clouds
112,Kavieng,PG,-2.5744,150.7967,83.34,71,100,6.8,overcast clouds
113,Lima,PE,-12.0432,-77.0282,66.9,83,100,4.61,overcast clouds
114,Krasnoselkup,RU,65.7,82.4667,31.42,93,100,9.35,overcast clouds
115,Beloha,MG,-25.1667,45.05,70.74,58,100,12.46,overcast clouds
116,Ilulissat,GL,69.2167,-51.1,28.42,80,100,4.61,light shower snow
117,Dom Pedro,BR,-4.4833,-44.45,85.71,65,98,2.53,overcast clouds
118,Avera,US,33.194,-82.5271,61.56,52,6,6.29,clear sky
119,Tiksi,RU,71.6872,128.8694,-1.55,100,27,5.55,scattered clouds
120,Blacksburg,US,37.2296,-80.4139,50.72,55,0,4.61,clear sky
121,Balaipungut,ID,1.05,101.2833,78.24,94,100,1.12,overcast clouds
122,Sernur,RU,56.9333,49.1536,36.32,66,100,10.25,overcast clouds
123,Alice Springs,AU,-23.7,133.8833,69.35,49,27,3.44,scattered clouds
124,Ugoofaaru,MV,5.6667,73.0,85.3,68,100,3.83,overcast clouds
125,Carnarvon,AU,-24.8667,113.6333,69.87,68,0,16.11,clear sky
126,Antipovka,RU,49.8299,45.3122,63.64,41,5,13.49,clear sky
127,Hobart,AU,-42.8794,147.3294,61.27,93,100,1.14,moderate rain
128,Jardim,BR,-21.4803,-56.1381,83.14,45,0,7.4,clear sky
129,Praxedis Guerrero,MX,31.3667,-106.0167,62.28,23,0,2.19,clear sky
130,Grindavik,IS,63.8424,-22.4338,48.67,76,75,10.36,broken clouds
131,Meulaboh,ID,4.1363,96.1285,80.37,83,100,1.16,overcast clouds
132,Savinskiy,RU,62.9342,40.1361,35.46,62,100,9.71,overcast clouds
133,Haines Junction,CA,60.7522,-137.5108,33.37,97,100,2.86,overcast clouds
134,Camopi,GF,3.1655,-52.3158,82.49,72,26,3.51,scattered clouds
135,Svetlyy,RU,54.675,20.1347,53.65,49,17,7.23,few clouds
136,Cherskiy,RU,68.75,161.3,24.76,97,100,8.01,overcast clouds
